"Wavelength","Transmittance"
894,94.346784
895,94.464804
895,94.367788
895,94.411324
896,94.486867
896,94.44112
896,94.487523
897,94.506222
897,94.542902
897,94.550811
898,94.539459
898,94.646705
898,94.592947
899,94.593177
899,94.726154
899,94.623348
900,94.650499
900,94.761949
900,94.645861
901,94.692627
901,94.755646
901,94.658146
902,94.725959
902,94.736594
902,94.67334
903,94.772911
903,94.743247
903,94.718581
904,94.84144
904,94.792882
904,94.804191
905,94.918527
905,94.872112
905,94.909008
906,94.990464
906,94.954648
906,95.002071
907,95.053837
907,95.02262
907,95.06737
908,95.105996
908,95.073885
908,95.105276
909,95.13898
909,95.117009
909,95.124384
910,95.147823
910,95.159323
910,95.138499
911,95.138273
911,95.197854
911,95.161849
912,95.125652
912,95.22761
912,95.200138
913,95.130766
913,95.259905
913,95.249762
914,95.172602
914,95.317834
914,95.305619
915,95.253895
915,95.402807
915,95.362643
916,95.352223
916,95.478941
916,95.411259
917,95.434315
917,95.508446
917,95.441886
918,95.482736
918,95.494827
918,95.455546
919,95.504891
919,95.474504
919,95.462273
920,95.518381
920,95.474926
920,95.469853
921,95.534039
921,95.500216
921,95.482472
922,95.552169
922,95.548293
922,95.507629
923,95.568331
923,95.612786
923,95.551204
924,95.580714
924,95.667363
924,95.604106
925,95.594259
925,95.679176
925,95.646329
926,95.616071
926,95.650396
926,95.668088
927,95.64514
927,95.626137
927,95.677109
928,95.671765
928,95.648805
928,95.683114
929,95.691351
929,95.717293
929,95.686414
930,95.712555
930,95.797835
930,95.685971
931,95.744708
931,95.858344
931,95.687874
932,95.782281
932,95.883865
932,95.699014
933,95.810286
933,95.877054
933,95.719502
934,95.821851
934,95.858293
934,95.746985
935,95.823267
935,95.855393
935,95.783237
936,95.826326
936,95.881206
936,95.832356
937,95.843425
937,95.926473
937,95.896276
938,95.884435
938,95.977881
938,95.9724
939,95.947029
939,96.030529
939,96.049272
940,96.01205
940,96.078352
940,96.105673
941,96.058876
941,96.10963
941,96.124844
942,96.084428
942,96.122626
942,96.113026
943,96.099205
943,96.132085
943,96.096729
944,96.110459
944,96.149692
944,96.099987
945,96.121719
945,96.170335
945,96.129709
946,96.144572
946,96.188157
946,96.180528
947,96.193283
947,96.212785
947,96.241334
948,96.262924
948,96.255228
948,96.294336
949,96.32525
949,96.306989
949,96.320966
950,96.353038
950,96.347288
950,96.316773
951,96.342895
951,96.365734
951,96.294837
952,96.314569
952,96.369407
952,96.272694
953,96.297033
953,96.37549
953,96.263874
954,96.314285
954,96.403713
954,96.281699
955,96.37131
955,96.46337
955,96.336066
956,96.448172
956,96.536253
956,96.418416
957,96.516641
957,96.584552
957,96.501356
958,96.565562
958,96.590071
958,96.562746
959,96.601004
959,96.576357
959,96.602397
960,96.62362
960,96.579855
960,96.629361
961,96.624298
961,96.610136
961,96.644493
962,96.608705
962,96.652853
962,96.645863
963,96.606965
963,96.698566
963,96.641781
964,96.641545
964,96.746168
964,96.644426
965,96.6948
965,96.784852
965,96.653778
966,96.726768
966,96.797865
966,96.659354
967,96.722843
967,96.787239
967,96.656735
968,96.708354
968,96.776744
968,96.653058
969,96.714972
969,96.785231
969,96.656253
970,96.747053
970,96.809458
970,96.666307
971,96.786378
971,96.83563
971,96.678506
972,96.817978
972,96.856317
972,96.691768
973,96.840905
973,96.874276
973,96.713789
974,96.857921
974,96.899363
974,96.756966
975,96.86527
975,96.941214
975,96.822533
976,96.856534
976,96.994587
976,96.887462
977,96.832912
977,97.034073
977,96.918658
978,96.805313
978,97.035795
978,96.907341
979,96.78557
979,97.003413
979,96.879229
980,96.77729
980,96.961125
980,96.861548
981,96.776426
981,96.923841
981,96.85051
982,96.779611
982,96.890033
982,96.825976
983,96.788828
983,96.862314
983,96.7901
984,96.80639
984,96.853106
984,96.770687
985,96.827292
985,96.862865
985,96.785046
986,96.839271
986,96.871292
986,96.818527
987,96.832117
987,96.861769
987,96.845089
988,96.808571
988,96.842517
988,96.855915
989,96.786282
989,96.833821
989,96.860792
990,96.785937
990,96.844709
990,96.871635
991,96.814125
991,96.871485
991,96.893121
992,96.85847
992,96.909023
992,96.923184
993,96.901931
993,96.952639
993,96.954938
994,96.939132
994,96.995065
994,96.980286
995,96.973541
995,97.03065
995,96.994955
996,97.002904
996,97.059689
996,96.999406
997,97.019169
997,97.085214
997,96.998002
998,97.024868
998,97.111572
998,97.003204
999,97.037989
999,97.147799
999,97.035731
1000,97.072566
1000,97.200742
1000,97.106232
1001,97.121404
1001,97.258983
1001,97.194452
1002,97.167249
1002,97.296104
1002,97.260862
1003,97.205786
1003,97.299971
1003,97.285892
1004,97.245807
1004,97.289098
1004,97.286899
1005,97.288065
1005,97.289732
1005,97.290214
1006,97.317251
1006,97.306674
1006,97.299776
1007,97.320871
1007,97.329001
1007,97.30428
1008,97.308137
1008,97.35381
1008,97.302565
1009,97.301669
1009,97.38581
1009,97.304516
1010,97.312631
1010,97.417682
1010,97.312186
1011,97.330723
1011,97.430643
1011,97.31726
1012,97.33836
1012,97.418235
1012,97.316678
1013,97.328978
1013,97.395758
1013,97.316119
1014,97.309603
1014,97.381922
1014,97.317226
1015,97.290144
1015,97.382164
1015,97.3153
1016,97.274913
1016,97.392573
1016,97.312452
1017,97.263867
1017,97.408471
1017,97.320001
1018,97.258086
1018,97.423943
1018,97.342373
1019,97.261179
1019,97.431532
1019,97.368098
1020,97.27547
1020,97.42785
1020,97.381497
1021,97.298393
1021,97.414852
1021,97.3763
1022,97.324191
1022,97.395863
1022,97.356749
1023,97.349424
1023,97.378588
1023,97.335391
1024,97.37565
1024,97.379461
1024,97.330599
1025,97.405125
1025,97.409577
1025,97.351631
1026,97.433203
1026,97.452593
1026,97.380496
1027,97.447194
1027,97.472195
1027,97.382776
1028,97.436733
1028,97.451714
1028,97.346886
1029,97.405708
1029,97.415367
1029,97.302148
1030,97.369971
1030,97.398564
1030,97.286537
1031,97.34201
1031,97.407187
1031,97.305445
1032,97.321657
1032,97.420351
1032,97.333568
1033,97.303945
1033,97.425442
1033,97.34928
1034,97.290673
1034,97.430821
1034,97.352101
1035,97.287463
1035,97.443194
1035,97.350026
1036,97.292532
1036,97.452102
1036,97.347682
1037,97.298296
1037,97.446944
1037,97.35099
1038,97.305437
1038,97.436602
1038,97.370101
1039,97.324838
1039,97.437824
1039,97.408235
1040,97.359502
1040,97.448829
1040,97.451378
1041,97.392778
1041,97.44856
1041,97.475774
1042,97.404144
1042,97.424654
1042,97.466808
1043,97.392467
1043,97.391231
1043,97.430012
1044,97.37368
1044,97.371979
1044,97.384268
1045,97.356823
1045,97.371606
1045,97.34377
1046,97.333526
1046,97.373189
1046,97.308168
1047,97.295048
1047,97.362901
1047,97.274054
1048,97.250873
1048,97.348125
1048,97.251747
1049,97.221579
1049,97.345914
1049,97.257692
1050,97.215714
1050,97.358365
1050,97.286875
1051,97.220924
1051,97.367639
1051,97.307628
1052,97.217338
1052,97.35587
1052,97.29491
1053,97.194941
1053,97.323689
1053,97.258673
1054,97.158411
1054,97.286267
1054,97.227226
1055,97.120351
1055,97.25575
1055,97.212429
1056,97.091479
1056,97.231277
1056,97.204448
1057,97.073411
1057,97.203813
1057,97.191931
1058,97.059331
1058,97.168121
1058,97.172414
1059,97.043933
1059,97.130943
1059,97.147525
